fecha,ars_promedio
2023-11,10335000
2023-12,14567400
2024-01,17687850
2024-02,18774000
2024-03,22430000
2024-04,23033900
2024-05,23033900
2024-06,23521100
2024-07,24367850
2024-08,23100000
2024-09,25451150
2024-10,25193700
2024-11,25697600
2024-12,25450000
2025-01,24762900
2025-02,24530000
2025-03,25361900
